,business_id,full_address,open,categories,city,review_count,name,neighborhoods,longitude,state,stars,latitude,type
0,rncjoVoEFUJGCUoC1JgnUA,"8466 W Peoria Ave
Ste 6
Peoria, AZ 85345",True,"['Accountants', 'Professional Services', 'Tax Services', 'Financial Services']",Peoria,3,Peoria Income Tax Service,[],-112.241596,AZ,5.0,33.581867,business
1,0FNFSzCFP_rGUoJx8W7tJg,"2149 W Wood Dr
Phoenix, AZ 85029",True,"['Sporting Goods', 'Bikes', 'Shopping']",Phoenix,5,Bike Doctor,[],-112.105933,AZ,5.0,33.604054,business
2,3f_lyB6vFK48ukH6ScvLHg,"1134 N Central Ave
Phoenix, AZ 85004",True,[],Phoenix,4,Valley Permaculture Alliance,[],-112.0739333,AZ,5.0,33.4605258,business
3,usAsSV36QmUej8--yvN-dg,"845 W Southern Ave
Phoenix, AZ 85041",True,"['Food', 'Grocery']",Phoenix,5,Food City,[],-112.0853773,AZ,3.5,33.3922099,business
4,PzOqRohWw7F7YEPBz6AubA,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",True,"['Food', 'Bagels', 'Delis', 'Restaurants']",Glendale Az,14,Hot Bagels & Deli,[],-112.200264,AZ,3.5,33.712797,business
5,gtQzAiy7D-dPU8WzT3jX3Q,"The Americana at Brand
869 Americana Way
Glendale, CA 91210",True,"[""Women's Clothing"", 'Fashion', 'Shopping']",Glendale,6,Barney's New York Co-op,[],-112.481632232666,CA,4.5,33.6077660588006,business
6,FrBCYtCS_jydDjg1KsIgWQ,"1850 W Camelback Rd
Ste 1
Phoenix, AZ 85015",True,"['Music & DVDs', 'Books, Mags, Music & Video', 'Vinyl Records', 'Shopping']",Phoenix,21,Zia Record Exchange,[],-112.0987501,AZ,3.5,33.5096582,business
7,yaXAD-Mv2K2PEZobmqjIYA,"3415 W Northern Ave
Phoenix, AZ 85051",True,"['Event Planning & Services', 'Venues & Event Spaces']",Phoenix,4,Reflections Bingo,[],-112.132866,AZ,5.0,33.551903,business
8,o3ehs4ZEdsizbJyB9_j7uQ,"6938 E 1st St
Scottsdale, AZ 85251",True,"['Art Schools', 'Specialty Schools', 'Shopping', 'Jewelry', 'Accessories', 'Fashion', 'Education']",Scottsdale,14,Jam,[],-111.9312992,AZ,5.0,33.492195,business
9,qarobAbxGSHI7ygf1f7a_Q,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",True,"['Sandwiches', 'Restaurants']",Gilbert,10,Jersey Mike's Subs,[],-111.8120071,AZ,3.5,33.3788385,business
10,C1xciP65n4t4R1Q4h1zOHw,"8860 E Chaparral Rd
Ste 100
Scottsdale, AZ 85250",True,"['Music & DVDs', 'Books, Mags, Music & Video', 'Musical Instruments & Teachers', 'Shopping']",Scottsdale,4,Fender Musical Instruments Corporation,[],-111.8887889,AZ,4.5,33.5135194,business
11,gA5CuBxF-0CnOpGnryWJdQ,"519 W Thomas Rd
Phoenix, AZ 85013",True,"['Mexican', 'Restaurants']",Phoenix,5,La Paloma Mexican Food,[],-112.0813612,AZ,4.0,33.480105,business
12,acaBJcFEKPmmSDIO6c-ZGQ,"2075 N Pebble Creek Pkwy
Goodyear, AZ 85395",True,"['Food', 'Grocery']",Goodyear,3,Basha's,[],-112.3920218,AZ,3.0,33.468815,business
13,JxVGJ9Nly2FFIs_WpJvkug,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",True,"['Pizza', 'Restaurants']",Scottsdale,55,Sauce,[],-111.926272,AZ,4.0,33.6174589,business
14,9iLiMm3Z9nepRDu1AhgEoQ,"3535 W Chandler Blvd
Chandler, AZ 85226",True,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Chandler,7,Windmill Inns & Suites,[],-111.9032256,AZ,4.5,33.3054266,business
15,G2Re2E5Jkv_UF1xrenSsDg,"4500 E Cactus Rd
Phoenix, AZ 85032",True,"['Department Stores', 'Fashion', 'Shopping']",Phoenix,11,Macy's,[],-111.9820907,AZ,4.0,33.5993236,business
16,8lTdJA9GK59-NzJwleSJBQ,"7501 S McAllister Ave
Tempe, AZ 85283",True,"['Window Washing', 'Home Services']",Tempe,12,Clearly Professional Window Cleaning,[],-111.931256,AZ,5.0,33.3503,business
17,Jj7bcQ6NDfKoz4TXwvYfMg,"8941 N Black Canyon Hwy
Phoenix, AZ 85021",True,"['Burgers', 'Restaurants']",Phoenix,23,Fuddruckers,[],-112.116243,AZ,4.0,33.566989,business
18,OMXAkiWyKz0AM6PwwuP38Q,"7131 W Ray Rd
Suite 14
Chandler, AZ 85226",True,"['Kitchen & Bath', 'Shopping', 'Home & Garden']",Chandler,15,Sur La Table,[],-111.964138,AZ,4.0,33.317906,business
19,K0v87iFgB3sXSzw6e-BJ5w,"100 Easy St
Carefree, AZ 85377",True,"['Food', 'Beer, Wine & Spirits']",Carefree,8,AZ Wine Company,[],-111.9229042,AZ,4.5,33.8242305,business
20,jcQgDviuCuJLJWjYoTy9MA,"Mesa, AZ 85215",True,"['Plumbing', 'Home Services']",Mesa,4,Rocket Rooter Plumbing and Drain Service,[],-111.5468301,AZ,5.0,33.519545,business
21,QL3vFMAsEHqfi1KGH-4igg,"Mondrian Hotel Scottsdale
7353 E Indian School Rd
Scottsdale, AZ 85251",False,"['Bars', 'Nightlife', 'Lounges']",Scottsdale,11,Red Bar,[],-111.924226,AZ,3.0,33.49447,business
22,yOYFhiTjT-SM4spKtDk92w,"10227 N Metro Pkwy E
Phoenix, AZ 85051",False,"['Buffets', 'Dim Sum', 'Chinese', 'Restaurants']",Phoenix,42,China Chan Restaurant,[],-112.120516,AZ,3.5,33.5803589,business
23,4IAzFJ159GEaIGX1-y6Bmw,"9251 E Shea Blvd
Scottsdale, AZ 85258",True,"['Burgers', 'Fast Food', 'Restaurants']",Scottsdale,3,McDonald's,[],-111.881625,AZ,2.5,33.581867,business
24,s02x9kPbZii-uw1x0Oyy6w,"32351 N Scottsdale Rd
Scottsdale, AZ 85262",True,"['Department Stores', 'Fashion', 'Shopping', 'Drugstores']",Scottsdale,5,Target Stores,[],-111.9257696,AZ,3.5,33.7801176,business
25,e9JhcYEgNbRL8i8CTdQO2w,"15205 N Kierland Blvd
Ste 150
Scottsdale, AZ 85254",True,"['Shopping Centers', 'Shopping']",Scottsdale,54,Kierland Commons,[],-111.930343,AZ,4.5,33.624638,business
26,MLAnvEcvDfOWELHUN_0xEw,"7001 N Scottsdale Rd
Ste 147
Scottsdale, AZ 85253",False,"['Food', 'Breweries', 'American (New)', 'Restaurants']",Scottsdale,85,Nimbus American Bistro N' Brewery,[],-111.9641728,AZ,3.0,33.5388471,business
27,BtKwRZRMyTIi9BRFk-75sQ,"W Union Hills Dr
Glendale, AZ 85308",True,"['Active Life', 'Dog Parks', 'Amateur Sports Teams', 'Parks']",Glendale,15,Foothills Park,[],-112.179572582245,AZ,4.0,33.6570846738415,business
28,MwIM3O0p8V_y2ttXz0_xGw,"3592 S Atherton Blvd
Ste 107
Gilbert, AZ 85297",True,"['Pediatric Dentists', 'Health & Medical', 'Dentists']",Gilbert,5,Little Tykes Pediatric Dentistry,[],-111.71703,AZ,3.5,33.285218,business
29,JHp5mJvYe6UtM_QsklR-iw,"7607 E McDowell Road
Suite 101
Scottsdale, AZ 85257",True,"['Pizza', 'Restaurants']",Scottsdale,9,Peter Piper Pizza,[],-111.9175425,AZ,3.0,33.4661264,business
30,O0ayL4r9AbonKwdgelBL3A,"524 W Broadway Rd
Ste 107
Tempe, AZ 85282",True,"['Active Life', 'Performing Arts', 'Arts & Entertainment', 'Dance Studios', 'Fitness & Instruction']",Tempe,5,Plaza de Anaya,[],-111.9470154,AZ,5.0,33.4076118,business
31,sygb2W4NRadVXiWhW8bnFQ,"616 E Pima Street
Gila Bend, AZ 85337",True,"['Mexican', 'Restaurants']",Gila Bend,10,Sofia's Mexican Food,[],-112.7113217,AZ,3.5,32.9482948,business
32,ECuS72VSRKpRRFToQiNQxA,"4532 N 7th St
#B
Phoenix, AZ 85014",False,"['Thrift Stores', 'Used, Vintage & Consignment', 'Fashion', 'Shopping']",Phoenix,4,Nostalgic Alley,[],-112.065449,AZ,5.0,33.503223,business
33,JvJjaTJCyUGu5SDpoJWvZg,"1930 W Pinnacle Peak Rd
Ste 119
Phoenix, AZ 85027",False,"['Caterers', 'Restaurants', 'Event Planning & Services', 'Italian']",Phoenix,9,Meatballz,[],-112.101312,AZ,3.0,33.6988429,business
34,u9b49Z4JmvbP6KTe26lyoA,"4515 E Cactus Rd
Phoenix, AZ 85032",True,"['Hair Salons', 'Beauty & Spas']",Phoenix,5,Cool Cuts 4 Kids,[],-111.9820732,AZ,4.0,33.5991424,business
35,j1Ql05L7wn_8GGLj3jHkWg,"4032 N Miller Road
Scottsdale, AZ 85251",True,[],Scottsdale,3,Ford Robert Black Agency,[],-111.9174842,AZ,5.0,33.4939995,business
36,507GX11jtCsVYlzaur05_w,"4730 E Warner Rd
Phoenix, AZ 85044",True,"['Chinese', 'Restaurants']",Phoenix,27,Panda Garden,[],-111.983142,AZ,4.0,33.333182,business
37,3ic0B872Tql7dwO4YRTDCw,"2480 W Happy Valley Rd.
Suite 1215
Phoenix, AZ 85085",True,"['Fashion', 'Shopping', 'Jewelry', 'Accessories']",Phoenix,15,Charming Charlie,[],-112.1114135,AZ,4.5,33.7129657,business
38,0EE3BohGb4lxWRnHLiqNnw,"124th St & Via Linda
Scottsdale, AZ 85255",True,"['Active Life', 'Hiking']",Scottsdale,17,Lost Dog Wash Trail,[],-111.8134299,AZ,4.5,33.5896225,business
39,GhC1V0MRGoma3MP0Gn28Fw,"3111 W Chandler Blvd Ste 2146
Chandler, AZ 85226",False,['Restaurants'],Chandler,3,Ruby's Diner,[],-111.897553,AZ,4.5,33.305681,business
40,pvJuii1d2CTQd9BF3gT_Sg,"PO Box 25589
Tempe, AZ 85285",True,"['Print Media', 'Mass Media']",Tempe,3,College Times,[],-111.9360171,AZ,4.5,33.3928523,business
41,-nPwp-pg-pTEO2nqo1h_lg,"7700 W. Arrowhead Tn. Ctr.
1079
Glendale, AZ 85308",True,"['Arts & Entertainment', 'Cinema']",Glendale,11,AMC Arrowhead 14,[],-112.225298881531,AZ,2.5,33.6424376443382,business
42,reMYkuDhLk4raAviOFtvOQ,"13616 N 35th Ave
Ste 1
Phoenix, AZ 85029",True,"['Burgers', 'Restaurants']",Phoenix,38,Lenny's Burger Shop,[],-112.119087,AZ,4.0,33.597474,business
43,MG1IbQUurcXn8NQgXGM34Q,"4410 E University Dr
Mesa, AZ 85205",True,"['Delis', 'Restaurants']",Mesa,3,Yee-haws,[],-111.735789,AZ,3.5,33.423805,business
44,KqYY2rwD8ymjU9mVJwiuRQ,"9020 N 19th Ave
Phoenix, AZ 85021",True,"['Chinese', 'Restaurants']",Phoenix,3,Panda Gourmet,[],-112.0998396,AZ,3.5,33.5682973,business
45,idpRaOujsEvnI-LzDSKa6g,"13277 W McDowell Rd
Goodyear, AZ 85395",True,"['Shopping', 'Antiques']",Goodyear,5,Brass Armadillo Antique Mall,[],-112.3447338,AZ,4.5,33.4618027,business
