,votes,user_id,name,average_stars,review_count,type
0,"{'funny': 0, 'useful': 7, 'cool': 0}",CR2y7yEm4X035ZMzrTtN9Q,Jim,5.0,6,user
1,"{'funny': 0, 'useful': 1, 'cool': 0}",_9GXoHhdxc30ujPaQwh6Ew,Kelle,1.0,2,user
2,"{'funny': 0, 'useful': 1, 'cool': 0}",8mM-nqxjg6pT04kwcjMbsw,Stephanie,5.0,2,user
3,"{'funny': 0, 'useful': 2, 'cool': 0}",Ch6CdTR2IVaVANr-RglMOg,T,5.0,2,user
4,"{'funny': 0, 'useful': 0, 'cool': 0}",NZrLmHRyiHmyT1JrfzkCOA,Beth,1.0,1,user
5,"{'funny': 30, 'useful': 45, 'cool': 36}",mWx5Sxt_dx-sYBZg6RgJHQ,Amy,3.79,19,user
6,"{'funny': 28, 'useful': 130, 'cool': 31}",hryUDaRk7FLuDAYui2oldw,Beach,3.83,207,user
7,"{'funny': 1, 'useful': 0, 'cool': 1}",2t6fZNLtiqsihVmeO7zggg,christine,3.0,2,user
8,"{'funny': 0, 'useful': 3, 'cool': 2}",mn6F-eP5WU37b-iLTop2mQ,Denis,4.5,4,user
9,"{'funny': 5, 'useful': 24, 'cool': 9}",myXq7PFXkD_yfXT580SXMw,Shawn,3.899999999999999,10,user
10,"{'funny': 3, 'useful': 16, 'cool': 6}",EMpFiVyiaMS58XsLZdS6vA,Carey,3.399999999999999,6,user
11,"{'funny': 0, 'useful': 5, 'cool': 1}",74Y-B-8MJhshV7aYSQ93lQ,Johnatton,3.399999999999999,5,user
12,"{'funny': 50, 'useful': 109, 'cool': 49}",34ir_XnUsrqserEuSZdGQA,David,3.39,83,user
13,"{'funny': 1, 'useful': 3, 'cool': 1}",1Aq2NzZGREMRdAkw55V7dg,Marcus,2.879999999999999,8,user
14,"{'funny': 0, 'useful': 0, 'cool': 0}",B7XCvzvcriFc8xfIA-Wg4A,Renee,5.0,1,user
15,"{'funny': 6, 'useful': 4, 'cool': 1}",1aoDw1jVm5UQrVacWg0vnw,s,2.12,8,user
16,"{'funny': 3, 'useful': 7, 'cool': 3}",iH6y1T5AZZxaKpSNmvjGWw,joe,4.75,4,user
17,"{'funny': 2, 'useful': 24, 'cool': 0}",2tyadgcxcaEu5LWgLdwLAQ,Na Humma,4.23,22,user
18,"{'funny': 0, 'useful': 10, 'cool': 4}",mc2glxrNAZuPnCudIaoK4Q,Kay,3.64,11,user
19,"{'funny': 1, 'useful': 11, 'cool': 3}",LKFo-Z93fhHHF-CkXoXvLw,Cara,3.75,4,user
20,"{'funny': 0, 'useful': 5, 'cool': 1}",09ZCt5inrt35zuJVtxBB5A,Shelly,2.5,2,user
21,"{'funny': 9, 'useful': 81, 'cool': 31}",aSwY5VAO1S0uZASZlZgB3A,Ashley,3.79,56,user
22,"{'funny': 0, 'useful': 3, 'cool': 1}",oh3BckWd5WXSANfGlnjErQ,Megan,4.5,7,user
23,"{'funny': 0, 'useful': 7, 'cool': 0}",y5YxcvgbQX_uVW0UtHWKxA,Ann-Marie,4.0,9,user
24,"{'funny': 0, 'useful': 1, 'cool': 1}",Vu29H1sy1poRld4LIL2Jqw,Sandy,3.669999999999999,3,user
25,"{'funny': 0, 'useful': 1, 'cool': 1}",iK7I2HQ8kiyms_XuENr55w,Juli,5.0,2,user
26,"{'funny': 0, 'useful': 0, 'cool': 0}",QlSVps_q61IThBo489_Zyw,Mike,5.0,1,user
27,"{'funny': 5, 'useful': 15, 'cool': 0}",mzenirXt-7sZR2RhkhvLDQ,Jordan,3.0,3,user
28,"{'funny': 13, 'useful': 21, 'cool': 5}",qMCT8OblN3finTvXcba-oA,Elizabeth,3.62,16,user
29,"{'funny': 1, 'useful': 7, 'cool': 3}",jy94hgtLcuD0BbZ7o8KCYQ,Dan,4.5,4,user
30,"{'funny': 0, 'useful': 2, 'cool': 2}",8lrTKMjIJ9kt7rfVtjq3qg,Beth,5.0,3,user
31,"{'funny': 0, 'useful': 3, 'cool': 2}",IcSsf2QCA7T-KpdraDxTew,Scott,3.799999999999999,6,user
32,"{'funny': 0, 'useful': 2, 'cool': 0}",d09KNIq4YPYq1u5nVyqIUg,Michael,3.859999999999999,8,user
33,"{'funny': 0, 'useful': 0, 'cool': 0}",vxxNafFH_OMD5B1l231toA,Kelly,5.0,1,user
34,"{'funny': 0, 'useful': 5, 'cool': 1}",bwPaqC08ddUoq-zminI3bw,Leslie,3.169999999999999,6,user
35,"{'funny': 4, 'useful': 3, 'cool': 0}",LzT8mSfliJHhs68RTwQW5w,Steve,4.0,3,user
36,"{'funny': 1, 'useful': 4, 'cool': 0}",vAAeeV-kqabpuVr-DmtdFA,Kathey,1.33,4,user
37,"{'funny': 2, 'useful': 8, 'cool': 2}",R75rQfzSeXzO9LVh0MFjJg,Clay,3.75,8,user
38,"{'funny': 0, 'useful': 4, 'cool': 1}",D_nff52rbs-OCZbVXeCqzg,Amanda,5.0,1,user
39,"{'funny': 0, 'useful': 3, 'cool': 1}",6lyD0ZdmmYZsOMFFwOWsog,Amy,2.62,8,user
40,"{'funny': 1, 'useful': 5, 'cool': 3}",hqjDAPapGKJ3U4wUN1dGMA,LaToya,4.33,3,user
41,"{'funny': 113, 'useful': 386, 'cool': 147}",iR8iTaCOjQCM-JG4qf23NQ,Kate,3.79,155,user
42,"{'funny': 1, 'useful': 3, 'cool': 1}",1Md7FNu_GujIwxbb9TqSqQ,DAVID,3.89,18,user
43,"{'funny': 0, 'useful': 1, 'cool': 0}",-LmTXrlHEfLpDi34FVXNAg,Camille,4.0,9,user
44,"{'funny': 1, 'useful': 2, 'cool': 0}",ysZSP646Ikjb9pPKxuBurw,Lorena,4.2,5,user
45,"{'funny': 21, 'useful': 38, 'cool': 37}",gXQ3peDz-H8mFZO_U4ys3w,Riana,4.269999999999999,30,user
46,"{'funny': 5, 'useful': 17, 'cool': 8}",8gIp7Emu7xBDnBjRKgkSOg,Mimi,3.87,15,user
47,"{'funny': 8, 'useful': 20, 'cool': 12}",44302NAooinHOKKIWHDKXA,Kelsey,4.07,41,user
48,"{'funny': 1, 'useful': 1, 'cool': 1}",BDa9RGFZv9TV2lGAiuqjxQ,Mary,5.0,1,user
49,"{'funny': 1, 'useful': 14, 'cool': 2}",qw8n1PUrt4qBh-4eMjfv0Q,Carmen,4.11,27,user
50,"{'funny': 0, 'useful': 3, 'cool': 0}",F2M53He6gzMb1vp3m7cKJg,Syd,4.78,10,user
51,"{'funny': 0, 'useful': 0, 'cool': 0}",Mcdt7tUA7jqiqCtyxXgq4g,Kristina,2.0,2,user
52,"{'funny': 2, 'useful': 6, 'cool': 1}",q10h5nL1LnbaKMlNOfahfQ,O,4.33,3,user
53,"{'funny': 317, 'useful': 1244, 'cool': 890}",CUUpi7gtqx1zojEGJ6Z5ew,Gabe,3.819999999999999,407,user
54,"{'funny': 295, 'useful': 795, 'cool': 527}",6hvcowqr8NYug9u-Bzw8Jg,Jay,3.509999999999999,379,user
55,"{'funny': 1, 'useful': 1, 'cool': 1}",pjfwk6ZnCAcJAsX4V6QhpA,Dustin,5.0,1,user
56,"{'funny': 3, 'useful': 6, 'cool': 2}",BqmMeZQD03LHJ_vibTOp2g,Dino,3.879999999999999,8,user
57,"{'funny': 26, 'useful': 35, 'cool': 16}",lodglSjhVGXzRUTDMoyOCg,Brian,3.14,118,user
58,"{'funny': 2, 'useful': 5, 'cool': 0}",vSxaLh9RCl1BJDbIt0hxww,Ruby,4.0,5,user
59,"{'funny': 0, 'useful': 4, 'cool': 0}",yBMGCKvNXnb9Gr6VVRTHGw,Gerard,1.5,2,user
60,"{'funny': 0, 'useful': 0, 'cool': 1}",1zKpgs-JZixiWiS8PWdj2w,Trinidad,5.0,3,user
61,"{'funny': 11, 'useful': 17, 'cool': 11}",lzHNLEvRNFN-RQFmczYNBw,Katie,4.139999999999999,15,user
62,"{'funny': 0, 'useful': 0, 'cool': 1}",HplYk367S1EV6uywIIK5-w,Joe,4.33,3,user
63,"{'funny': 0, 'useful': 1, 'cool': 0}",IwDii1N3yCTXsgs4Nm2OEQ,Bari,5.0,3,user
64,"{'funny': 3, 'useful': 6, 'cool': 1}",sGL10Y44CVzzKNkLVeHOEQ,Dana,3.549999999999999,11,user
65,"{'funny': 142, 'useful': 209, 'cool': 135}",UF4IY9O6EaVo-hS5FqMsiA,Marisa,3.91,193,user
66,"{'funny': 1, 'useful': 9, 'cool': 1}",mmLIP0mFRbDgRjlKvJSAQw,Art,2.5,3,user
67,"{'funny': 0, 'useful': 1, 'cool': 0}",j9CYALELapJci8kQ61_7Cg,Nicole,4.25,5,user
68,"{'funny': 6, 'useful': 6, 'cool': 5}",Q9YX5k3ICwUYGkMjADSokQ,Melvyn,4.309999999999999,13,user
69,"{'funny': 3, 'useful': 4, 'cool': 1}",PyOkV3pQ1aw__O4VAWmvcw,FC,2.33,3,user
70,"{'funny': 0, 'useful': 2, 'cool': 0}",F6uG2OxXVNkAhuM24n3ZGg,Derek,3.0,2,user
71,"{'funny': 1, 'useful': 2, 'cool': 0}",Acl3hg7RPM6tj4zkPvdz1Q,John,3.0,2,user
72,"{'funny': 356, 'useful': 359, 'cool': 268}",dYtkphUrU7S2_bjif6k2uA,Junk,3.299999999999999,267,user
73,"{'funny': 0, 'useful': 1, 'cool': 0}",jgOtDM_CSVHoWhlf3JxUzQ,Alan,4.33,3,user
74,"{'funny': 94, 'useful': 166, 'cool': 95}",rbcbqdr8hV0iv8ISMheE3A,Kai,3.81,214,user
75,"{'funny': 2, 'useful': 0, 'cool': 0}",ZAbccZRkyprv9jA5JIqEAw,Rach,5.0,5,user
76,"{'funny': 15, 'useful': 52, 'cool': 11}",1NppMyL-2RXQvHUExIjxdA,Mike,3.52,90,user
77,"{'funny': 18, 'useful': 89, 'cool': 26}",cMmQsFyrYBv6hIE6NffqZQ,D,3.81,79,user
78,"{'funny': 444, 'useful': 970, 'cool': 728}",eSAmN-5RAu8y1igSvz_yJw,Eddie,3.95,252,user
79,"{'funny': 17, 'useful': 24, 'cool': 17}",VKOREbYBDBK5oaorb6j6mQ,kelly,4.129999999999999,23,user
80,"{'funny': 1, 'useful': 4, 'cool': 0}",LRsJbMmLXcMpZ3Fqcys0vA,Glenn,3.879999999999999,8,user
81,"{'funny': 33, 'useful': 117, 'cool': 52}",n4RPA0Cuem4ygQxPIdLBLQ,Stephanie,3.91,130,user
82,"{'funny': 1, 'useful': 24, 'cool': 10}",qQxDnjMexrsfltQV7I1mJw,Russ,3.81,21,user
83,"{'funny': 0, 'useful': 1, 'cool': 0}",pYfB2Asdqg5ampdmqEjdzA,Angie,5.0,1,user
84,"{'funny': 0, 'useful': 0, 'cool': 0}",-aCl04VaJ4FWzo7y2diKZg,Alex,5.0,1,user
85,"{'funny': 0, 'useful': 5, 'cool': 1}",TGQRbUuikgzO2ARVicH1cQ,Debra,4.75,4,user
86,"{'funny': 87, 'useful': 171, 'cool': 118}",akmkd_2iLRrbOyPBfYLN0A,Miss Kae,3.24,59,user
87,"{'funny': 3, 'useful': 12, 'cool': 2}",f72UJVOllcjgpZdOi7-gkA,M,3.5,7,user
88,"{'funny': 1, 'useful': 4, 'cool': 1}",EJeBInfAGoBiVWqXX2YTQg,James,4.0,3,user
89,"{'funny': 0, 'useful': 1, 'cool': 0}",rpMb-wEYPevvuaKLIbqrvQ,Ania,1.0,1,user
90,"{'funny': 0, 'useful': 2, 'cool': 1}",iIfuhtK9Pu7tLSNbxxoJfg,Lenin,5.0,2,user
91,"{'funny': 0, 'useful': 3, 'cool': 0}",BE27SDgLqJTEjVq2p9yZDg,Ryan,1.0,1,user
92,"{'funny': 0, 'useful': 1, 'cool': 0}",RqWIxCYG4a42mUCChgMQvA,Mickey,5.0,1,user
93,"{'funny': 7, 'useful': 11, 'cool': 4}",IFKDDiyY-ap8DNaSCIwbZQ,Catherine,3.1,32,user
94,"{'funny': 0, 'useful': 1, 'cool': 0}",sowwcc9gasFhwsdMgsMzrg,Nicole,4.75,4,user
95,"{'funny': 0, 'useful': 0, 'cool': 0}",XYx6ZiTSIpbC3qm_xEm-KA,Ron,4.33,3,user
96,"{'funny': 0, 'useful': 0, 'cool': 0}",f_rpabHGZ4SgFZp5_jQ8KA,Ash,3.0,2,user
97,"{'funny': 29, 'useful': 35, 'cool': 25}",zKyJDKJwAfWGB4HKXp9snw,Eric,4.0,36,user
98,"{'funny': 0, 'useful': 4, 'cool': 0}",owCSYaRJEiV-kk2L2HP00A,SJ,1.0,2,user
99,"{'funny': 5, 'useful': 17, 'cool': 7}",uBAMd01ZtGXaHrRD6THNzg,Anthony,4.33,16,user
100,"{'funny': 4, 'useful': 8, 'cool': 3}",JopzNRMvBxIc_M5pZfoK7Q,T,2.379999999999999,16,user
101,"{'funny': 0, 'useful': 3, 'cool': 0}",IBgAJmUpRFt7oxz0A7l80A,Ivy,3.669999999999999,4,user
102,"{'funny': 9, 'useful': 9, 'cool': 2}",FxEau0b8pC_N7QeZNHZZtw,Justin,2.799999999999999,12,user
103,"{'funny': 7, 'useful': 31, 'cool': 7}",u74AsCsDA4gSOGHySJTm3w,Rob,3.56,25,user
104,"{'funny': 0, 'useful': 6, 'cool': 7}",2QzrMw_uWZuhPFvqie0cmg,Joe,4.0,8,user
105,"{'funny': 1, 'useful': 1, 'cool': 0}",6LDJDgd3bllzpeo1JzJSIw,Shelley,3.25,4,user
106,"{'funny': 6, 'useful': 7, 'cool': 7}",z-TD7Mf07w8jdS2xbYp0Dw,A,5.0,5,user
107,"{'funny': 5, 'useful': 6, 'cool': 5}",_j70DLAT_Unc8uR_PNkp_Q,Jordan,5.0,5,user
108,"{'funny': 1, 'useful': 4, 'cool': 0}",S7Zlol5qxWrRGX21Uqs4_A,Debbie,5.0,1,user
109,"{'funny': 0, 'useful': 0, 'cool': 0}",ZpRbqGdmhgiENWtw_XQ4OA,Andrew,1.0,1,user
110,"{'funny': 20, 'useful': 49, 'cool': 11}",4expbzCvfg4ZEWh8MOD9Cw,Tyson,3.5,24,user
111,"{'funny': 1, 'useful': 3, 'cool': 1}",PXLb9RnpfSPRG4nNa1F05Q,Krysti,5.0,1,user
112,"{'funny': 0, 'useful': 5, 'cool': 3}",J0jywlzX6xwjDqPewyv7MA,Sharon,3.5,2,user
113,"{'funny': 15, 'useful': 67, 'cool': 25}",fM6zztYtf9W5DsXUhy941Q,Mister,3.649999999999999,71,user
114,"{'funny': 1, 'useful': 3, 'cool': 2}",F3kzrZd3R_z60p5mPeAT-Q,Chrystal,4.5,3,user
115,"{'funny': 0, 'useful': 1, 'cool': 0}",Lw2JfTJSlGLJa_qjoeYnbg,Emily,4.2,5,user
116,"{'funny': 16, 'useful': 66, 'cool': 41}",TSmeNkbRpG_8REsLeTIwnA,Jeremy,3.31,70,user
117,"{'funny': 1, 'useful': 6, 'cool': 1}",rxLztfrLaSOhwl5LTqbqzw,Tiffani,1.0,4,user
118,"{'funny': 103, 'useful': 179, 'cool': 60}",GDs9jnBBln3KhU0teNsHDQ,Eric,3.31,380,user
119,"{'funny': 5, 'useful': 14, 'cool': 5}",UlF9QddRCygQrmmXuwIFjg,Arnold,3.87,42,user
120,"{'funny': 0, 'useful': 0, 'cool': 0}",K-N_hbnmYNt35J35ocjbww,Jack,3.0,1,user
121,"{'funny': 2, 'useful': 1, 'cool': 0}",i2srUvYyu0rX8ODt_RKG3w,Mizuagi,1.0,1,user
122,"{'funny': 6, 'useful': 26, 'cool': 5}",GN-4LStZtWdAqNjwUUEvNQ,Adam,3.779999999999999,18,user
123,"{'funny': 1, 'useful': 6, 'cool': 1}",jv9monaBCfX84LIW5gFs2w,Russell,3.0,2,user
124,"{'funny': 0, 'useful': 3, 'cool': 0}",3ouCNuKrN3cw3bBZHXdcyQ,Nicole,3.6,6,user
125,"{'funny': 3, 'useful': 25, 'cool': 3}",SfXcp7C6lzRgYBiNL6zX7w,Nikolas,4.269999999999999,26,user
